protocol,ip_src,ip_dst,port_src,port_dst,packet_length,timestamp,ttl,label
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716436.04063,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.040631,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.040845,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716436.041142,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.177596,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.177766,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716436.178076,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.294818,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.295075,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716436.295413,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.405379,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.405561,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716436.405856,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.431076,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.431248,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.458349,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.458538,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.486528,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.486784,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.513606,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.513813,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.544021,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.544221,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.564628,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.564795,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.586674,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.586825,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.61403,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.614204,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.641742,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.641928,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.666584,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.666809,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.694462,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.694777,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.720961,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.721151,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.741216,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.741423,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.76739,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.767581,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.787515,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.787776,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.812707,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.812865,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.849518,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.849691,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.876958,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.87712,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.898015,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.898286,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.919188,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.91936,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.948245,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.948439,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.971764,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.971985,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716436.995089,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716436.99544,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.015259,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.015446,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.036437,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.036626,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.058973,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.05913,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.07971,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.079838,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.108956,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.109155,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.129371,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.129561,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.151289,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.151478,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.171126,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.171337,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.1934,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,222,1771716437.193867,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.214548,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.214799,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.243584,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.243735,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.269592,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.269794,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.296525,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.296792,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.317771,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.317968,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.343994,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.34417,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.371688,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.371886,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.399359,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.399564,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.425965,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.426119,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.452491,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.452764,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.472947,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.473089,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.497408,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.497614,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.52596,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.526134,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.565553,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.565783,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716437.610283,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.610283,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.610452,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,66,1771716437.61084,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.635008,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.635168,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.657233,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.657426,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.6774,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.67759,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.707889,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.708025,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.747117,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.747334,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.783417,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.783579,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.818262,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.818375,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.855455,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.855643,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.882504,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.882791,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.904494,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.904729,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.925107,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.925278,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.945901,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.946112,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.973082,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.973254,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716437.998827,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716437.999045,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716438.023192,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716438.023392,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716438.049505,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716438.049656,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716438.079992,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716438.080189,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716438.111738,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716438.111906,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716438.139671,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716438.139854,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716438.166998,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716438.16717,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716438.18879,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716438.188968,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716438.210008,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716438.210171,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716438.230398,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716438.230584,64,normal
TCP,192.168.100.20,192.168.100.10,55754,22,102,1771716438.262339,64,normal
TCP,192.168.100.10,192.168.100.20,22,55754,102,1771716438.262555,64,normal
